Referencia,Cantidad,Valor,Footprint
A1,1,Arduino Nano,Module:Arduino_Nano
BZ1,1,Pasivo,Buzzer_Beeper:Buzzer_12x9.5RM7.6
C1,1,10u,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
C2,1,1u,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
C3,1,334,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
C4,1,104,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm
HS1,1,,Heatsink:Heatsink_Fischer_SK104-STCB_35x13mm__2xDrill3.5mm_ScrewM3
J1,1,,Connector_Molex:Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical
J2,1,,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical
J3,1,,Connector_Molex:Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical
J4,1,,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal"
J5,1,,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical
J6,1,,Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical
J7,1,,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical
J8,1,,Connector_PinSocket_2.54mm:PinSocket_1x15_P2.54mm_Vertical
M1,1,,TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal
Q1,1,BD139,Package_TO_SOT_THT:TO-126-3_Vertical
Q2,1,PN2222A,Package_TO_SOT_THT:TO-92_Inline_Wide
R1,1,10K,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal
R2,1,10K,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal
U1,1,L7805,Package_TO_SOT_THT:TO-220-3_Vertical
